,X,Y,Z
227571,22266.251809999998,82011.18776,9794.4332
401189,21205.43041,85164.58836000001,1264.2666
494120,25913.73361,82185.56936000001,3531.2274
540349,26582.19641,81066.62076,4068.9040000000005
417574,22542.35601,88187.20276,566.7402
163226,20885.73081,76736.14436,9169.5658
474770,26422.34661,80935.83456,3720.1408
168921,22513.29241,75820.64096,9460.2018
30738,26669.38721,82839.50036,6117.8878
485077,20682.28561,87576.86716000001,3807.3316
7562,20972.921609999998,78116.66536,6364.9284
276706,18081.093409999998,78552.61936,8690.0164
46864,19868.50481,78000.41096000001,7425.7498
13962,23457.85941,79250.14576,6728.2234
74528,26407.81481,82229.16476,7076.9866
601516,26407.81481,82309.08966,4388.6036
605590,26160.77421,81502.57476,4686.5055
228144,20013.822809999998,80587.07136,9808.965
257201,25652.16121,78073.06996000001,7890.7674
128916,26756.57801,77593.52056,5710.9974
519233,23515.98661,85992.90096,4286.880999999999
475141,24228.04481,85571.47876,3720.1408
514363,18633.30181,76154.87236000001,4359.54
343490,20943.85801,86632.30016,2150.7064
141554,22818.46021,87010.12696000001,5129.7254
550636,24300.70381,87969.22576,3226.0596
69040,26538.60101,78596.21476,7265.9
561003,18400.793009999998,79598.90896,3327.7822
298806,25666.69301,78436.36496,8297.6578
474811,25884.670009999998,79831.41776,3720.1408
66608,23356.13681,77913.22016,6931.6686
309886,18546.11101,77826.02936,8413.9122
433085,25143.54821,85033.80216,1787.4114
481532,18909.40601,78044.00636,3807.3316
283115,23283.47781,82926.69116,8588.2938
536304,18502.51561,77680.71136,4141.563
219359,21510.59821,81778.67896,9620.0516
581872,25448.71601,84670.50716000001,3037.1462
4409,21714.04341,85716.79676,6466.651
33372,21699.511609999998,78131.19716,6176.015
70616,17412.63061,81197.40696000001,7222.3046
640050,20907.52851,86806.68176,1453.18
485804,18429.85661,82926.69116,3821.8634
20080,21278.08941,79264.67756,5914.4426
419431,21103.70781,85368.03356,871.908
91525,18168.284209999998,82389.01456,4955.3438
64360,22338.91081,85266.31096,6859.0096
292302,25317.929809999998,77840.56116,8733.6118
230179,23312.541409999998,81371.78856,9678.1788
513741,18211.87961,83057.47736,4185.1584
632173,25564.970409999998,84648.70946,3414.973
543802,18953.00141,78799.65996,3255.1232
389616,22832.992009999998,88826.60196,2644.7876
519210,20464.30861,86734.02276,4286.880999999999
235482,20885.73081,77884.15656,8108.7444
514015,20842.13541,80587.07136,4185.1584
45531,25550.43861,78131.19716,7338.559
151437,23850.21801,86356.19596,5333.1706
195887,23050.96901,80151.11736,9925.2194
69653,22309.84721,85309.90636000001,7207.7728
304757,20013.822809999998,77724.30676,8472.0394
262669,21728.57521,76634.42176,7789.0448
135295,21060.112409999998,86341.66416,5667.401999999999
521638,18066.56161,82490.73716,4315.9446
45897,21379.812009999998,84074.70336,7353.0908
312954,19970.22741,83696.87656,2310.5562
311099,22731.26941,76067.68156,8472.0394
237858,21684.97981,83464.36776000001,8137.808000000001
386141,24983.69841,84205.48956,2630.2558
300704,20420.713209999998,77506.32976000001,8326.7214
465405,20754.94461,84452.53016000001,1569.4344
409958,23661.30461,88332.52076,624.8674
55823,26465.94201,81953.06056,7571.0678
295569,22585.951409999998,78639.81016000001,8341.2532
29592,22745.801209999998,85876.64656000001,6146.9514
54832,22091.87021,76314.72216,7600.1314
14128,21481.53461,85469.75616,6742.7552
523083,18124.68881,83057.47736,4301.4128
555813,25666.69301,80601.60316,3298.7186
55533,26291.56041,78610.74656,7556.536
403924,20653.222009999998,83522.49496,1307.862
423357,21714.04341,86719.49096,915.5034
166500,21539.661809999998,78785.12816000001,9416.6064
142328,21467.002809999998,79409.99556,5013.471
21181,21496.06641,79424.52736000001,5885.379
6127,26654.85541,82752.30956000001,6248.674
393149,21568.72541,87911.09856,1148.0122
372459,20958.38981,86486.98216,2543.065
487293,25942.79721,80122.05376,3560.2909999999997
412814,21932.02041,86690.42736,712.0582
186349,24111.790409999998,82824.96856000001,9096.9068
378596,25158.080009999998,83696.87656,2543.065
254930,21975.61581,84176.42596000001,7847.172
61255,19912.10021,80616.13496,7047.923000000001
287550,20028.35461,78407.30136,8806.2708
385981,20406.18141,86777.61816,2630.2558
598817,23196.28701,77484.53206,7164.1774
600094,22229.922309999998,87300.76296000001,508.61300000000006
337998,20624.15841,86385.25956,1976.3248
419371,21060.112409999998,85120.99296,871.908
69037,17398.09881,78785.12816000001,7265.9
504089,21074.64421,87823.90776,3603.8864
471460,24286.17201,87794.84416000001,3749.2044
611012,23537.78431,87562.33536,4548.4534
307573,19999.29101,78392.76956,8515.6348
439741,20551.49941,82854.03216,1889.134
651686,24431.490009999998,78978.88549,6069.448467
233530,21263.55761,81008.49356,9707.2424
105152,18749.55621,77666.17956,4446.7308
553538,25376.05701,83769.53556,3371.3776
246058,20813.071809999998,79148.42316,8210.466999999999
377361,19635.99601,84307.21216,2484.9378
452765,21176.36681,84815.82516000001,1482.2436
237966,23050.96901,79148.42316,8137.808000000001
182723,19883.03661,81095.68436,8849.8662
197478,25986.39261,79439.05916,9925.2194
525087,21001.98521,87634.99436,3952.6496
491625,21815.76601,86414.32316,3502.1638
485133,21510.59821,87780.31236,3807.3316
574044,20406.18141,86893.87256,3196.9959999999996
547588,25492.31141,84714.10256,3342.3140000000003
378620,19694.123209999998,83972.98076,2543.065
387149,19577.86881,84888.48416,2615.724
363973,19258.16921,79468.12276,2964.4872
24233,26146.24241,76329.25396,5958.0380000000005
613269,25238.00491,84481.59376,2804.6374
654252,17398.09881,81013.33748999999,7842.328067
481583,24169.91761,87896.56676,3792.7998
652531,22658.61041,83469.21169,8365.472867
265054,20042.88641,82839.50036,7977.9582
630565,19926.63201,83449.83596,2245.1631
189039,18822.21521,78291.04696,9140.5022
504116,20202.73621,86588.70476000001,3603.8864
405866,21568.72541,86181.81436,1162.5439999999999
573754,18982.06501,79293.74116,2993.5508
6060,21510.59821,86094.62356,6292.2694
598173,23864.74981,81132.01386,4243.2856
567251,19810.37761,81357.25676,3473.1002
371712,19185.51021,82330.88736000001,2572.1286
659372,17204.341480000003,80427.22156,7706.6979329999995
314092,20318.99061,83217.32716,2296.0244
558704,18982.06501,81357.25676,3138.8688
622596,25942.79721,80717.85756,3335.0481
589312,21772.17061,76721.61256000001,7839.9061
463926,20929.32621,85556.94696,1511.3072
512976,26640.32361,80761.45296000001,4199.6902
602924,21554.19361,86457.91856,632.1333
377844,19766.78221,81124.74796000001,2499.4696
379339,22774.86481,88594.09316,2514.0014
478734,18589.70641,83580.62216,3850.927
297646,21016.51701,76242.06316,8384.8486
524002,26088.11521,83813.13096000001,3967.1814
231432,20871.19901,75602.66396,9663.646999999999
131680,26625.79181,78058.53816,5754.5928
666603,21870.98685,78648.52924,5708.09104
508770,25797.479209999998,79293.74116,4243.2856
84060,26422.34661,79468.12276,4664.7078
414603,23501.45481,88114.54376,435.954
525951,25826.54281,80645.19856,3967.1814
404066,24111.790409999998,88841.13376,1307.862
250361,20784.00821,83072.00916,8166.8716
180745,22513.29241,78378.23776,8966.1206
641504,18197.34781,79083.03006,3879.9906
482492,26422.34661,80514.41236,3807.3316
456892,21307.153009999998,87329.82656,1380.521
633490,21219.962209999998,87918.36446,3400.4412
9786,25332.46161,77956.81556,6699.1598
497199,23545.050209999998,84510.65736,3632.95
294528,22033.74301,76576.29456000001,8341.2532
490581,20348.05421,87213.57216,3560.2909999999997
85947,18546.11101,78116.66536,4693.7714
516361,19112.85121,77942.28376,4345.0082
420314,23995.53601,88158.13916,842.8444
114399,26277.02861,83144.66816,4519.3898
280837,20464.30861,77695.24316,8559.2302
657760,19868.50481,84316.90002,2421.966667
445159,22949.24641,88201.73456,1816.475
580708,25056.35741,86675.89556,3385.9094
593410,26400.548909999998,81531.63836,4068.9040000000005
24769,21670.44801,78930.44616,5812.72
65340,20478.84041,78828.72356,6800.8824
113897,18357.19761,78291.04696,4519.3898
16431,22367.97441,85484.28796,6510.2464
84300,20798.54001,86545.10936,4635.6442
354389,19243.63741,84496.12556,2833.7009999999996
343678,20304.45881,84278.14856,2165.2382
295560,20595.09481,78683.40556,8341.2532
326859,19258.16921,82083.84676,2470.406
260969,21554.19361,76707.08076,7759.9812
343799,25187.14361,85237.24736000001,2165.2382
479493,25259.80261,84786.76156,3879.9906
507006,18720.49261,82243.69656,4214.222
458420,22513.29241,88114.54376,1613.0298
229771,21234.49401,81691.48816000001,9678.1788
55075,19781.31401,80659.73036,7556.536
371377,19606.932409999998,84844.88876,2572.1286
299295,22062.80661,83507.96316,8268.5942
131882,26029.98801,78261.98336,5754.5928
326473,24998.230209999998,83609.68576000001,2455.8742
215204,23327.07321,81241.00236,9590.988000000001
409371,24213.51301,86312.60056,1220.6712
316960,20086.48181,81400.85216000001,2339.6198
311028,20086.48181,82795.90496,8457.5076
414981,22615.01501,88347.05256,479.5494
343578,24823.84861,84873.95236,2165.2382
337151,20231.79981,83725.94016,1976.3248
480796,24693.06241,85731.32856000001,3865.4588
532527,18996.59681,81676.95636,3938.1178
176012,19694.123209999998,80267.37176000001,8937.056999999999
97014,24911.039409999998,86675.89556,4824.5576
516821,19025.66041,77695.24316,4388.6036
244474,21714.04341,83449.83596,8224.9988
632147,20653.222009999998,78392.76956,8261.3283
138197,25797.479209999998,77390.07536,5086.13
180203,19839.44121,80993.96176,8966.1206
123737,21714.04341,78872.31896,5376.766
578132,21597.78901,88114.54376,2964.4872
506585,26088.11521,79119.35956,4214.222
398245,20900.262609999998,84830.35696,1046.2896
596608,21525.13001,86116.42126,682.9946
4882,17354.50341,81691.48816000001,6466.651
650663,19447.082609999998,80158.38326,2528.5332
511,18211.87961,78509.02396,6423.0556
505249,18662.36541,77564.45696,4228.7538
631083,26393.28301,81313.66136,8595.5597
208610,21452.47101,75878.76816,10506.4914
582995,25376.05701,83028.41376,3022.6144
6700,25376.05701,78116.66536,6248.674
574473,22309.84721,86239.94156,3458.5684
512899,26611.260009999998,81211.93876,4199.6902
300126,17543.41681,78857.78716,8283.126
170174,20071.95001,80558.00776000001,9431.1382
510237,18865.81061,81938.52876,4170.6266
49021,18429.85661,82359.95096,7672.7904
5795,26364.219409999998,82548.86436,6306.8012
216303,21016.51701,81328.19316,9561.9244
81914,23646.77281,80441.75336,4751.8986
380093,19374.423609999998,81270.06596,2528.5332
163759,19694.123209999998,80020.33116,9213.1612
307101,22149.99741,83362.64516,8501.103000000001
571675,24838.380409999998,86007.43276,3211.5278
109603,21873.89321,87344.35836,4577.517
190094,22876.58741,77753.37036,9125.9704
625947,25848.340509999998,84190.95776,3531.2274
109337,25942.79721,84525.18916000001,4577.517
238930,26465.94201,81720.55176,8123.2762
20536,22120.93381,78421.83316000001,5928.9744
396656,23922.87701,88114.54376,944.567
473918,19519.74161,81836.80616000001,3691.0772
533407,26131.71061,80238.30816,4097.9676
377110,25608.56581,83929.38536,2484.9378
299835,26596.72821,81488.04296,8268.5942
633037,22062.80661,84503.39146,3603.8864
497635,22237.18821,86254.47336,3632.95
638333,23094.56441,77331.94816,7999.7559
272072,22019.211209999998,83871.25816,7948.8946
392833,21278.08941,86298.06876000001,1133.4804
664941,25546.805659999998,83507.96316,2357.78455
66259,23341.60501,78160.26076,6917.1368
36267,22673.142209999998,78828.72356,6016.1652
353584,24838.380409999998,86675.89556,2790.1056
205857,23806.62261,79017.63696,10244.919
497158,23821.15441,84394.40296,3632.95
366239,20042.88641,85150.05656,2862.7646
56782,18633.30181,77840.56116,7629.195
36447,26465.94201,82592.45976,6001.6334
153295,26683.919009999998,79758.75876,5173.3208
335626,25317.929809999998,84772.22976,2078.0474
83720,26364.219409999998,82897.62756000001,4664.7078
621316,20362.58601,78857.78716,8116.0103
80819,21060.112409999998,87010.12696000001,4766.4304
432521,23167.22341,89000.98356000001,1772.8796
249719,20813.071809999998,77869.62476,8166.8716
344975,20246.33161,81676.95636,2223.3654
266902,19374.423609999998,77956.81556,8007.0218
459959,20943.85801,83943.91716,1598.4979999999998
110838,24010.06781,80078.45836,4635.6442
436941,20769.47641,84074.70336,1729.2842
127315,26436.87841,77738.83856,5725.5292
99499,18880.34241,76024.08616,4461.2626
607024,24395.160509999998,86850.27716,2790.1056
542334,25870.13821,84452.53016000001,4054.3722
380098,19374.423609999998,81328.19316,2528.5332
68166,17412.63061,78988.57336000001,6888.0732
479675,25564.970409999998,85048.33396,3879.9906
620381,22687.67401,85535.14926,6335.8648
240469,21147.30321,83609.68576000001,8036.0854
13131,23298.00961,78421.83316000001,6786.3506
657818,21074.64421,87533.27176,4214.222
629374,22673.142209999998,83725.94016,8377.5827
30216,23007.37361,86312.60056,6161.4832
331760,25564.970409999998,83566.09036,2397.7470000000003
159178,21045.58061,76242.06316,9300.351999999999
582902,24620.40341,86588.70476000001,2964.4872
173226,22382.50621,77259.28916,9329.4156
38113,25855.60641,78509.02396,6059.7606
133076,26611.260009999998,78029.47456,5623.8066
503480,18357.19761,79875.01316,3632.95
536096,26393.28301,79700.63156000001,4141.563
646739,18538.84511,82824.96856000001,3763.7362
560718,18371.72941,80310.96716,3327.7822
602106,22600.48321,87983.75756,414.1563
321195,24024.59961,87780.31236,2252.429
150130,25986.39261,82185.56936000001,5362.2342
167434,22673.142209999998,77927.75196000001,9402.0746
136128,26407.81481,77593.52056,5638.3384
82240,22862.05561,87402.48556,4737.3668
464427,20536.96761,84757.69796,1525.839
313403,24547.74441,87242.63576,2310.5562
216397,22324.37901,75922.36356,9576.4562
276270,22106.402009999998,76314.72216,8690.0164
589950,24533.21261,86537.84346,4839.0894
210567,21757.63881,81008.49356,10041.4738
20160,22048.27481,86196.34616,5928.9744
101182,26538.60101,79250.14576,4504.858
74262,26524.069209999998,82316.35556,7120.581999999999
214286,21888.42501,81473.51116000001,10070.5374
271601,21045.58061,83842.19456,7934.3628
460054,24562.27621,85397.09716,1598.4979999999998
561017,25288.86621,86094.62356,3095.2734
101359,23995.53601,81110.21616,4504.858
285338,26495.00561,81168.34336,8777.2072
414513,21714.04341,87068.25416,465.0176
482061,26320.62401,82621.52336,3807.3316
553238,18764.08801,83144.66816,3371.3776
244808,17238.24901,79627.97256000001,8224.9988
138767,26698.45081,82679.65056000001,5086.13
387569,19912.10021,84132.83056,2615.724
65361,20522.43581,77826.02936,6829.946
246214,23704.90001,77506.32976000001,8224.9988
300420,20188.20441,77985.87916,8283.126
373152,19606.932409999998,81386.32036,2601.1922
412188,21525.13001,87024.65876,697.5264
125090,23603.17741,86632.30016,5449.425
245538,24039.131409999998,80674.26216,8210.466999999999
420748,22048.27481,86951.99976,842.8444
544447,25361.52521,85702.26496,3066.2098
392700,20784.00821,84685.03896,1148.0122
337307,21103.70781,87925.63036,1961.793
511041,21772.17061,87693.12156,4141.563
518004,19156.44661,77578.98876000001,4374.0718
362921,19592.40061,84147.36236,2920.8918
201245,21961.08401,80790.51656,9852.5604
246736,21103.70781,76372.84936000001,8224.9988
186747,20101.013609999998,81546.17016000001,9096.9068
331564,19970.22741,85091.92936000001,2397.7470000000003
294782,20638.69021,83144.66816,8326.7214
329123,25477.779609999998,83101.07276,2368.6834
206132,23007.37361,80805.04836,10244.919
459592,20682.28561,86734.02276,1598.4979999999998
250899,22847.52381,77346.47996,8152.3398
44448,17281.844409999998,81168.34336,7367.6226
501473,21510.59821,82563.39616,3589.3546
525145,21859.361409999998,87940.16216,3952.6496
357752,25216.20721,82636.05516,2731.9784
328973,19897.56841,85077.39756,2354.1516
664801,22549.621909999998,77095.80641,7560.16895
310855,21772.17061,75747.98196,8457.5076
23706,22091.87021,78770.59636,5943.5062
368466,19200.04201,80383.62616,2906.36
539471,20333.522409999998,87039.19056,4010.7768
526702,24315.23561,82316.35556,4010.7768
646509,18771.353909999998,78363.70596,8995.1842
644099,24402.42641,87322.56066,1554.9026
458578,22760.33301,88666.75216,1613.0298
141188,25637.629409999998,77230.22556,5144.2572
652485,21307.153009999998,86094.62356,1380.521
645602,19447.082609999998,82490.73716,2521.2673
319223,25376.05701,84249.08496000001,2223.3654
219516,20914.79441,75922.36356,9634.5834
162012,20101.013609999998,80819.58016,9184.0976
40670,20028.35461,78203.85616,7454.8134
472999,22193.59281,85978.36916,3691.0772
255823,26262.49681,82069.31496,7818.1084
15008,22237.18821,85687.73316,6539.31
259282,18618.77001,77724.30676,7759.9812
635742,22876.58741,77833.29526,8544.6984
127760,21641.38441,86283.53696,5725.5292
355533,19621.46421,84641.44356,2819.1692
281051,19694.123209999998,82200.10116,8602.8256
636339,21176.36681,80681.52806,3923.586
636002,21975.61581,83587.88806,3574.8228
303174,21031.04881,75878.76816,8501.103000000001
189966,18720.49261,78073.06996000001,9125.9704
436023,22338.91081,88376.11616,1714.7524
116012,25434.18421,81546.17016000001,4562.9852
286573,20987.45341,78407.30136,8835.3344
471778,25288.86621,84946.61136,3763.7362
561897,18735.024409999998,79032.16876,3327.7822
89401,21467.002809999998,79424.52736000001,4882.6848
665145,24845.64631,87086.41891000001,3992.61205
209273,23850.21801,78886.85076,10259.4508
192935,21278.08941,75617.19576,9009.716
285075,25521.37501,81909.46516,8762.6754
422783,24228.04481,86399.79136,900.9716
443826,20435.24501,84292.68036,1831.0068
508867,18676.89721,78494.49216000001,4243.2856
192940,22295.31541,75718.91836,9009.716
18626,22789.39661,85934.77376,6582.9054
148831,25594.03401,76954.12136,5289.5752
529454,20624.15841,81095.68436,3923.586
43558,17543.41681,78596.21476,7527.4724
522398,25957.329009999998,78857.78716,4330.4764
420166,21714.04341,86312.60056,886.4398
563806,19229.10561,81008.49356,3313.2504
642008,25964.59491,79584.37716,3894.5224
360061,20813.071809999998,85803.98756000001,2761.042
403590,24649.46701,85644.13776,1307.862
437484,21234.49401,87344.35836,1700.2206
266114,23312.541409999998,79148.42316,7963.4264
275461,18909.40601,77811.49756,8631.8892
404166,20769.47641,85077.39756,1322.3938
523845,18400.793009999998,78044.00636,3981.7132
295742,20217.26801,78131.19716,8384.8486
24472,26349.68761,77244.75736,5827.2518
243253,20900.262609999998,83289.98616,8050.6172
132893,18517.04741,77884.15656,5623.8066
572936,18720.49261,81023.02536,3458.5684
574575,19737.71861,79744.22696,2993.5508
373531,25056.35741,86763.08636,2586.6604
534823,18371.72941,83028.41376,4083.4358
230952,19781.31401,80034.86296,9663.646999999999
365087,25070.88921,85455.22436000001,2935.4236
107456,23835.68621,81182.87516,4432.1990000000005
11366,22556.88781,77578.98876000001,6655.5644
28404,26059.05161,78029.47456,5841.7836
392044,24010.06781,86821.21356,1075.3532
579877,21539.661809999998,83784.06736,3400.4412
286539,20318.99061,78261.98336,8835.3344
384556,19563.33701,82476.20536,2702.9148
625778,22811.19431,86239.94156,5987.1016
651271,19686.85731,79293.74116,9300.351999999999
337074,25288.86621,83972.98076,1976.3248
25823,26683.919009999998,78509.02396,5798.1882
486544,25419.65241,83478.89956,3545.7592
582257,18676.89721,80761.45296000001,3400.4412
466459,24402.42641,85280.84276,1554.9026
488125,25492.31141,83144.66816,3545.7592
231090,20435.24501,80601.60316,9663.646999999999
279276,20042.88641,82621.52336,8573.761999999999
586117,19418.01901,83972.98076,3196.9959999999996
438415,20754.94461,84525.18916000001,1903.6658
128432,21568.72541,78523.55576,5696.4656
641778,21060.112409999998,76314.72216,9205.8953
209133,23327.07321,79918.60856000001,10288.5144
228279,22963.77821,80732.38936,9808.965
337449,24562.27621,88288.92536000001,1961.793
254574,22193.59281,76590.82636,7847.172
629190,26654.85541,82672.38466,5928.9744
396763,20827.60361,85077.39756,973.6306
661729,23501.45481,77656.49169,9193.785467
68302,22309.84721,85062.86576,6888.0732
11027,17761.393809999998,82098.37856,6655.5644
330737,19970.22741,85615.07416,2412.2788
189304,19229.10561,78785.12816000001,9140.5022
507140,26044.519809999998,84045.63976,4214.222
520557,25899.20181,79526.24996,4272.3492
355630,18953.00141,82011.18776,2833.7009999999996
608755,18880.34241,80688.79396,2782.8397
157440,20827.60361,76358.31756,9271.2884
86372,26015.45621,78741.53276,4708.3032
322529,19505.20981,83304.51796,2441.3424
394962,20871.19901,84772.22976,988.1624
227922,22469.69701,81211.93876,9808.965
600976,17165.59001,80986.69586,7382.1544
422205,21292.62121,85484.28796,944.567
236912,19287.232809999998,77651.64776,8094.2126
221068,20318.99061,80528.94416,9503.7972
479071,21583.25721,80979.42996000001,3850.927
40881,23501.45481,78349.17416000001,7454.8134
451504,21219.962209999998,85818.51936,1496.7754
530356,26146.24241,82127.44216,3909.0542
156901,18909.40601,78203.85616,9256.7566
368000,25623.09761,83609.68576000001,2862.7646
567500,21176.36681,84801.29336,3211.5278
259258,18226.41141,82083.84676,7759.9812
131128,26349.68761,78203.85616,5740.061
606877,24911.039409999998,86872.07486000001,4141.563
497279,22033.74301,84263.61676,3632.95
614098,25172.61181,83195.52946,2819.1692
336721,20217.26801,83319.04976000001,2063.5156
